ID,PIT_Tag,scale_factor,Sex,Maturity,Site,Control-Treatment?,Recap?,Notes,horizontal_eye_diameter,head_depth_through_eye,postorbital_length,head_length,maximum_body_depth,minimum_caudal_peduncle_depth,predorsal_length,postdorsal_length,pect-pelvic_distance,pelvic-anal_distance,pectoral-anal_distance,preanal_length,fork_length,fork_measured,dorsal_fin_base_length,anterior_dorsal_height,posterior_dorsal_height,anal_fin_base_length,anal_fin_height,pectoral_fin_length,pelvic_fin_length,adipose_fin_base,adipose_height,dorsal_end_length,dorsal_to_adipose,dorsal_reach_adipose,papillae,problems
11,3DD.003E270DC2,0.067113,M,MA,Stiles,Treatment,N,,9.14,20.94,19.01,36.24,53.54,17.65,67.61,97.61,72.75,56.57,129.32,163.44,234.46,226,57.88,21.02,24.76,22.56,25.16,39.6,34.97,7.51,3.9,24.35,60.98,no,,no
12,3DD.003E270DDB,0.061724,F,IM?,Stiles,Control,N,,8.52,16.8,16.63,30.69,41,15.76,60.38,80.95,60.94,50.8,111.74,142.34,205.29,195,47.47,16.8,21.37,20,20.63,32.96,29.8,6.8,3.67,20.85,53,no,,no
13,3DD.003E270DF4,0.057788,M,IM,Stiles,Control,N,,8.14,15.91,14.63,28.54,36.57,13.88,53.9,76.05,57.58,47.64,105.22,133.83,192.5,180,46.6,17.45,18.35,18.69,17.1,29.07,25.95,NA,3.09,17.29,46.57,no,,no
14,3DD.003E270DF0,0.053366,M,IM,Stiles,Control,N,,7.58,14.78,15.59,28.18,36.5,13.35,60.26,73.45,60.25,46.22,106.47,132.51,188.35,175,42.88,13.81,16.71,17.92,15.97,25,24.3,NA,1.77,15.17,46.55,no,,no
15,3DD.003E270D57,0.100928,F,MA,Angel ,Control,Y,,10.8,26.45,28.77,46.63,75.86,28.16,94.07,134.65,116.14,89.4,205.54,250.86,355.33,349,101.11,36.2,74.65,36.86,30.56,58.79,61.35,11.59,NA,65.46,80.48,no,,no
16,3DD.003E270D49,0.100928,M,MA,Angel ,Control,Y,,13.02,33.61,35.32,61.26,81.62,27.88,104.17,130.63,111.83,92.45,204.28,261.4,365.13,355,103.63,35.55,102.6,40.11,35.43,68.94,76.12,9.76,NA,98.39,72.34,yes,,no
17,3DD.003E270D58,0.102825,M,MA,Angel ,Control,Y,,11.21,23.97,35.17,52.03,81.94,29.42,98.86,141.19,112.5,99.41,211.91,268.55,377.04,368,109.1,27.6,75.75,39.63,36.11,66.86,79.22,10.13,NA,83.47,80.2,yes,,no
18,3DD.003E270D3D,0.098701,F,MA,Angel ,Control,Y,,10.86,27.15,28.75,48.34,72.3,26.19,104.52,139.46,110.61,90.53,201.14,248.47,359.89,343,89.98,31.63,81.7,37.66,36.54,66.14,63.76,11.04,NA,67.7,91.52,no,,no
19,3DD.003E270D4C,0.09067,F,MA,Angel ,Control,Y,,12.06,28.47,31.56,55.4,68.1,25.03,99.47,129.94,108.71,90.93,199.64,251.61,343.82,340,92.5,29.09,64.39,32.65,30.11,58.58,58.01,8.34,3.47,60.47,80.19,no,,no
20,3DD.003E270D65,0.11094,M,MA,Angel ,Control,Y,,13.54,35.83,38.5,68.34,89.45,32.23,121.48,141.36,137.14,103.64,240.78,303.09,410.42,390,118.38,38.51,96.23,34.27,38.71,70.03,80.2,NA,3.3,101,87.66,yes,,no
